Timestamp,Người chơi 1,Race 1,Map,Kết quá,Người chơi 2,Race 2
9/29/2024 20:54:34,Domi,NE,Northern Isles,Thắng,Ragnar,NE
9/29/2024 21:20:00,LazyOldMan,Orc,Hammerfall,Thắng,SieuTitMit,UD
9/29/2024 21:47:51,LazyOldMan,Orc,Amazonia,Thắng,SieuTitMit,UD
9/29/2024 22:00:20,Ninh,UD,Hammerfall,Thua,Fervis,UD
9/30/2024 16:19:36,Ninh,Orc,Echo Isles,Thắng,Prac800ic,HU
9/30/2024 16:23:02,Ninh,Orc,Concealed Hill,Thắng,Prac800ic,HU
9/30/2024 20:49:08,osho,NE,Northern Isles,Thắng,Truongbaorong,UD
9/30/2024 20:49:37,osho,NE,Last Refuge,Thắng,Truongbaorong,Orc
9/30/2024 21:22:39,socnho,NE,Last Refuge,Thắng,Daisy,Orc
9/30/2024 21:23:04,socnho,NE,Echo Isles,Thắng,Daisy,Orc
9/30/2024 21:57:44,LazyOldMan,Orc,Last Refuge,Thắng,Truongbaorong,UD
9/30/2024 22:28:09,LazyOldMan,Orc,Autumn Leaves,Thua,Truongbaorong,UD
9/30/2024 23:00:18,LazyOldMan,Orc,Concealed Hill,Thua,Truongbaorong,UD
10/1/2024 10:27:57,socnho,UD,Echo Isles,Thắng,gobo2k,UD
10/1/2024 13:25:57,socnho,NE,Concealed Hill,Thắng,gobo2k,HU
10/1/2024 16:23:22,longnt,HU,Amazonia,Thắng,Prac800ic,HU
10/1/2024 16:31:01,longnt,Orc,Echo Isles,Thắng,Prac800ic,HU
10/1/2024 19:55:49,Ninh,HU,Northern Isles,Thắng,DAT93BP,Orc
10/1/2024 19:59:25,Ninh,HU,Autumn Leaves,Thắng,DAT93BP,NE
10/1/2024 20:29:43,Ragnar,NE,Amazonia,Thua,socnho,UD
10/1/2024 20:52:03,Ragnar,NE,Last Refuge,Thắng,socnho,UD
10/1/2024 21:00:30,Ragnar,NE,Autumn Leaves,Thắng,socnho,HU
10/1/2024 22:27:30,socnho,NE,Last Refuge,Thắng,hoanguyen,HU
10/1/2024 22:53:25,socnho,UD,Echo Isles,Thắng,hoanguyen,HU
10/2/2024 10:13:17,Domi,HU,Northern Isles,Thắng,Datmm09,Orc
